Week,Category,Size,Plant Name
8,FOL,6IN,DND Coffee Plant
8,FOL,6IN,DND Sansevieria Moonshine
8,FOL,6IN,DND Philodendron Micans
8,FOL,6IN,DND Aglaonema Mary Ann
8,FOL,4IN,Premium Foliage
8,FHB,4IN,String of Dolphins HB
8,UCO,5IN,Orchid in Ceramic
8,TRP,10IN,Aglaonema Silver Bay
8,TRP,10IN,Dieffenbachia Snow
8,FLO,4IN,African Violet
8,FHB,8IN,Philodendron Brasil HB
8,FHB,8IN,Marble Queen Pothos HB
8,FLO,6IN,Gardenia
8,TRP,10IN,Yucca Cane
8,TRP,10IN,Sansevieria Zeylanica
8,SPC,6.5IN,Medium Bonsai in Jasmine
8,SPC,4.5IN,Small Bonsai in Daisy
8,SPC,5IN,Assorted Large Bamboo Shapes
8,FOL,6CM,Dischidia Circle Trellis
8,FOL,6IN,Foliage in Himalaya
8,FLO,6IN,Kalanchoe & Calandiva
8,FLO,4IN,Kalanchoe & Calandiva
